ID,Task,Phase,Section,Priority,Status,Estimate,Dependencies,Tags,Notes
P1-001,Update pubspec.yaml description to AI Highway Companion,Phase 1 - MVP,Branding,P0,Done,15m,,branding,Internal rebrand only
P1-002,Update MaterialApp title in lib/main.dart,Phase 1 - MVP,Branding,P0,Done,5m,P1-001,branding,
P1-003,Create lib/core/domain/vehicle.dart - VehicleType enum + Vehicle entity,Phase 1 - MVP,Vehicle Profile,P0,Done,1h,,domain;vehicle,Petrol/Diesel/EV/Bike
P1-004,Create lib/features/profile feature slice with Hive persistence,Phase 1 - MVP,Vehicle Profile,P0,Not started,4h,P1-003,feature;profile,
P1-005,Extend plan input UI with vehicle selector and preference chips,Phase 1 - MVP,Vehicle Profile,P0,Not started,3h,P1-032,plan;ui,
P1-006,Create lib/core/domain/poi.dart generic Poi entity + PoiCategory enum,Phase 1 - MVP,POI Domain,P0,Done,2h,,domain;poi,16 grid items from PDF
P1-007,Scaffold lib/features/pois feature slice with provider seams,Phase 1 - MVP,POI Domain,P0,Not started,2h,P1-006,feature;poi,
P1-008,Implement GooglePlacesPoiSource for along-route POI search,Phase 1 - MVP,POI Domain,P0,Not started,2d,P1-007,data;api;poi,Corridor-bounded
P1-009,Generalize route_station_service.dart to route_poi_service.dart,Phase 1 - MVP,POI Domain,P0,Not started,1.5d,P1-008,refactor;core,Preserve EV adapter
P1-010,Extend community report schema with targetType and targetKey,Phase 1 - MVP,POI Domain,P0,Not started,2h,P1-006;P1-023,community;schema,
P1-011,DiscoveryScreen - 3-column grid of all PoiCategory items,Phase 1 - MVP,Intelligence Grid,P0,Not started,4h,P1-006,feature;discovery;ui,The iconic PDF screen
P1-012,PoiCategoryScreen - parameterized route-aware POI list,Phase 1 - MVP,Intelligence Grid,P0,Not started,1d,P1-008;P1-011,feature;discovery;ui,
P1-013,Wire grid items to PoiCategoryScreen route,Phase 1 - MVP,Intelligence Grid,P0,Not started,1h,P1-012,nav,
P1-014,Empty/loading/error states for PoiCategoryScreen,Phase 1 - MVP,Intelligence Grid,P0,Not started,3h,P1-012,ui;errors,
P1-015,Map view toggle on PoiCategoryScreen,Phase 1 - MVP,Intelligence Grid,P1,Not started,4h,P1-012,ui;maps,
P1-016,Update AppShell tabs: Plan / Trip / Discover / Profile,Phase 1 - MVP,Navigation,P0,Not started,2h,P1-011;P1-033,shell;ui,
P1-017,Trip tab - active trip dashboard or plan CTA,Phase 1 - MVP,Navigation,P0,Not started,4h,P1-040,shell;ui,
P1-018,Extend PlanResult model with ETA / tolls / fuel / charging / weather placeholders,Phase 1 - MVP,Trip Dashboard,P0,Not started,3h,P1-003,plan;model,
P1-019,Trip Dashboard widget in plan_result_view,Phase 1 - MVP,Trip Dashboard,P0,Not started,4h,P1-018,plan;ui,Stat cards row
P1-020,Smart Trip Timeline widget,Phase 1 - MVP,Trip Dashboard,P0,Not started,1d,P1-008;P1-019,plan;ui,Vertical timeline of stops
P1-021,Timeline editor - pin/unpin POI suggestions,Phase 1 - MVP,Trip Dashboard,P1,Not started,6h,P1-020,plan;ui,
P1-022,Create lib/features/alerts/domain/alert.dart Alert entity + AlertType,Phase 1 - MVP,Alerts Engine,P0,Done,2h,,alerts;domain,
P1-023,AlertEngine rule evaluator (pure Dart),Phase 1 - MVP,Alerts Engine,P0,Not started,1.5d,P1-022;P1-008,alerts;core,
P1-024,Rule Fuel Low - last trusted pump for next X km,Phase 1 - MVP,Alerts Engine,P0,Not started,4h,P1-023,alerts;rule,
P1-025,Rule EV Gap - next fast charger X km away,Phase 1 - MVP,Alerts Engine,P0,Not started,3h,P1-023,alerts;rule;ev,
P1-026,Rule Food Window - next highly rated restaurant after X km,Phase 1 - MVP,Alerts Engine,P0,Not started,4h,P1-023,alerts;rule,Honors pureVeg
P1-027,Add flutter_local_notifications + platform setup,Phase 1 - MVP,Alerts Engine,P0,Not started,3h,,alerts;deps,
P1-028,AlertNotifier - stream from AlertEngine to local notifications + banner,Phase 1 - MVP,Alerts Engine,P0,Not started,6h,P1-027;P1-023,alerts;providers,
P1-029,Replace default Flutter README with product README,Phase 1 - MVP,Branding,P1,Done,1h,P1-001,docs,
P1-030,Launch icon and splash for new brand identity,Phase 1 - MVP,Branding,P2,Not started,2h,,assets,Placeholder OK
P1-031,UserPreferences model with all preference flags,Phase 1 - MVP,Vehicle Profile,P0,Done,1h,P1-003,domain;preferences,
P1-032,Profile setup screen post-onboarding,Phase 1 - MVP,Vehicle Profile,P0,Not started,4h,P1-031,profile;ui,
P1-033,Profile edit screen in AppShell,Phase 1 - MVP,Vehicle Profile,P1,Not started,3h,P1-032,profile;ui,
P1-034,Alert history screen per trip,Phase 1 - MVP,Alerts Engine,P1,Not started,4h,P1-028,alerts;ui,
P1-040,Create lib/features/trip with Trip model,Phase 1 - MVP,Active Trip,P0,Not started,3h,P1-018,trip;feature,
P1-041,ActiveTripController - start/pause/end + Hive persist,Phase 1 - MVP,Active Trip,P0,Not started,6h,P1-040,trip;state,
P1-042,Foreground location tracking on active trip (opt-in),Phase 1 - MVP,Active Trip,P0,Not started,1d,P1-041,trip;location;android,
P1-043,Offline corridor cache - polyline + first 50 POIs per category,Phase 1 - MVP,Active Trip,P0,Not started,6h,P1-040;P1-008,trip;offline;cache,
P1-044,Offline detection + degraded mode banner,Phase 1 - MVP,Active Trip,P1,Not started,3h,P1-043,trip;offline;ui,
P1-050,Extend Firestore community report schema with targetType + targetKey,Phase 1 - MVP,Community Generalize,P0,Not started,4h,P1-006,community;schema,Back-compat with stationKey
P1-051,Update community_report_repository.dart for generic targetKey,Phase 1 - MVP,Community Generalize,P0,Not started,4h,P1-050,community;repo,
P1-052,Add poiCommunityControllerProvider family by targetKey,Phase 1 - MVP,Community Generalize,P0,Not started,2h,P1-051,community;providers,
P1-053,Mount CommunityReportsSection inside POI detail screens,Phase 1 - MVP,Community Generalize,P0,Not started,3h,P1-052;P1-012,community;ui;reuse,
P1-054,Mount CommunityRatingPulse chip on every POI list tile,Phase 1 - MVP,Community Generalize,P0,Not started,2h,P1-052;P1-012,community;ui;reuse,
P1-055,Add Firestore composite index targetKey + createdAt,Phase 1 - MVP,Community Generalize,P1,Not started,1h,P1-050,community;firestore;index,
P1-060,Lightweight telemetry hooks on new flows,Phase 1 - MVP,Hygiene,P1,Not started,3h,,telemetry,
P1-061,Error taxonomy parity for PoiRepository,Phase 1 - MVP,Hygiene,P0,Not started,2h,P1-007,errors,
P1-062,Skeleton loaders for POI lists,Phase 1 - MVP,Hygiene,P1,Not started,3h,P1-012,ui,
P1-063,Add flutter_local_notifications + connectivity_plus to pubspec,Phase 1 - MVP,Hygiene,P0,Done,30m,,deps,
P1-064,Add Crashlytics dependency (init only),Phase 1 - MVP,Hygiene,P1,Not started,1h,,deps;observability,
P1-065,Update docs/context/current_state.md after each subsection,Phase 1 - MVP,Hygiene,P0,Not started,rolling,,docs,
P2-001,Upgrade AlertEngine to upcoming-window rules,Phase 2 - Intelligence,Predictive Alerts,P0,Not started,1d,P1-023,alerts;engine,
P2-002,Ghat / Risk Alert - mountain section detection,Phase 2 - Intelligence,Predictive Alerts,P0,Not started,2d,P2-001,alerts;rule,
P2-003,Night Alert - low lighting + safe stop suggestion,Phase 2 - Intelligence,Predictive Alerts,P0,Not started,1.5d,P2-001,alerts;rule;safety,
P2-004,Fatigue Alert - 3-hour continuous driving timer,Phase 2 - Intelligence,Predictive Alerts,P0,Not started,6h,P2-001,alerts;rule;safety,
P2-005,Weather alerts on upcoming segment,Phase 2 - Intelligence,Predictive Alerts,P1,Not started,6h,P2-040,alerts;rule;weather,
P2-006,Alert deduplication & cooldown,Phase 2 - Intelligence,Predictive Alerts,P0,Not started,4h,P2-001,alerts;engine,
P2-007,Alert priorities + non-blocking presentation,Phase 2 - Intelligence,Predictive Alerts,P0,Not started,6h,P2-001,alerts;ui,
P2-010,UserPreferenceVector with derived weights,Phase 2 - Intelligence,Personalization,P0,Not started,1d,P1-031,personalization;model,
P2-011,PoiRanker score function,Phase 2 - Intelligence,Personalization,P0,Not started,1d,P2-010;P1-008,personalization;ranker,
P2-012,Apply PoiRanker to all PoiCategoryScreen lists,Phase 2 - Intelligence,Personalization,P0,Not started,4h,P2-011,personalization;ui,
P2-013,Brand affinity learning,Phase 2 - Intelligence,Personalization,P1,Not started,6h,P2-010,personalization;learning,
P2-020,Family Mode toggle + filter overlay,Phase 2 - Intelligence,Mode Filters,P0,Not started,1d,P2-012,mode;family,
P2-021,Women-Safe Mode + badge,Phase 2 - Intelligence,Mode Filters,P0,Not started,1d,P2-012,mode;safety,
P2-022,Bike Rider Mode + bike categories,Phase 2 - Intelligence,Mode Filters,P1,Not started,1d,P2-012,mode;bike,
P2-023,Community pulse tags for mode-specific attributes,Phase 2 - Intelligence,Mode Filters,P0,Not started,6h,P1-052,community;mode,
P2-030,Generalize reliability score from stations to all POIs,Phase 2 - Intelligence,Trust v2,P0,Not started,1d,P1-052,trust;score,
P2-031,Extend conflict-aware timeline to POIs,Phase 2 - Intelligence,Trust v2,P0,Not started,6h,P2-030,trust;ui,
P2-032,Source badges on every POI,Phase 2 - Intelligence,Trust v2,P0,Not started,4h,P2-030,trust;ui,
P2-033,"Why we recommend this" explainer chip,Phase 2 - Intelligence,Trust v2,P1,Not started,6h,P2-011,trust;ui;transparency,
P2-040,Weather via Open-Meteo per-segment,Phase 2 - Intelligence,Environment,P0,Not started,1d,P1-020,weather;api,
P2-041,Traffic-aware ETA via Google Routes alternatives,Phase 2 - Intelligence,Environment,P0,Not started,1d,P1-018,traffic;api,
P2-042,Toll estimation v1 from static dataset,Phase 2 - Intelligence,Environment,P1,Not started,2d,P1-018,tolls,
P2-043,Road-condition tag aggregation from community,Phase 2 - Intelligence,Environment,P1,Not started,6h,P2-030,community;route,
P2-050,Trip history list screen,Phase 2 - Intelligence,Trip Lifecycle,P1,Not started,1d,P1-041,trip;history;ui,
P2-051,Save & reuse a trip (one-tap re-plan),Phase 2 - Intelligence,Trip Lifecycle,P1,Not started,4h,P2-050,trip;ux,
P2-052,Share trip link/text,Phase 2 - Intelligence,Trip Lifecycle,P2,Not started,6h,P2-051,trip;share,
P2-053,Settings screen - units / vehicle / notifications,Phase 2 - Intelligence,Trip Lifecycle,P0,Not started,1d,P1-033;P1-028,settings;ui,
P2-060,Manual curation dataset of hidden gems per corridor,Phase 2 - Intelligence,Hidden Gems,P1,Not started,1d,P1-006,curation;data,
P2-061,Hidden Gems carousel on DiscoveryScreen,Phase 2 - Intelligence,Hidden Gems,P1,Not started,6h,P2-060,discovery;ui,
P2-062,Tag categories for hidden gems,Phase 2 - Intelligence,Hidden Gems,P1,Not started,4h,P2-060,curation;tags,
P2-070,A11y pass on all new screens,Phase 2 - Intelligence,Quality,P0,Not started,1d,,a11y,
P2-071,Wire Firebase Crashlytics + Analytics,Phase 2 - Intelligence,Quality,P0,Not started,6h,P1-064,observability,
P2-072,Composite Firestore index deployment,Phase 2 - Intelligence,Quality,P0,Not started,4h,P1-055,firestore;index,
P2-073,Performance pass - list virtualization + image cache,Phase 2 - Intelligence,Quality,P1,Not started,6h,P1-012,perf,
P2-074,Map clustering for crowded POI categories,Phase 2 - Intelligence,Quality,P1,Not started,6h,P1-015,maps;perf,
P3-001,Create lib/core/services/ai_service.dart provider-pluggable interface,Phase 3 - AI Copilot,AI Service,P0,Not started,1d,,ai;core,
P3-002,Server proxy for AI calls (Cloud Functions or NestJS),Phase 3 - AI Copilot,AI Service,P0,Not started,3d,P3-001,ai;backend;security,
P3-003,Prompt library versioned + cached in Remote Config,Phase 3 - AI Copilot,AI Service,P0,Not started,1d,P3-002,ai;prompts,
P3-004,Trip context packer JSON,Phase 3 - AI Copilot,AI Service,P0,Not started,1d,P3-001,ai;context,
P3-010,Create lib/features/ai_copilot feature slice,Phase 3 - AI Copilot,Assistant UI,P0,Not started,2h,P3-001,ai;feature,
P3-011,Chat screen with streaming responses,Phase 3 - AI Copilot,Assistant UI,P0,Not started,2d,P3-010;P3-002,ai;ui,
P3-012,Quick-prompt chips,Phase 3 - AI Copilot,Assistant UI,P0,Not started,6h,P3-011,ai;ui,
P3-013,Assistant launch floating button,Phase 3 - AI Copilot,Assistant UI,P0,Not started,4h,P3-011,ai;ui,
P3-014,Inline rich-result cards in chat,Phase 3 - AI Copilot,Assistant UI,P0,Not started,1d,P3-011,ai;ui,
